country,year,item,r,n,survey,cc_rank
United States,2011,science4,2,772.119323593102,ypccc_combo,938
United States,2011,science4,3,351.300536530224,ypccc_combo,938
United States,2011,science4,4,782.667950970193,ypccc_combo,938
United States,2011,when6,1,352.162258189366,ypccc_combo,938
United States,2011,when6,2,262.106175439215,ypccc_combo,938
United States,2011,when6,3,271.140123013136,ypccc_combo,938
United States,2011,when6,4,261.603869326588,ypccc_combo,938
United States,2011,when6,5,208.926505884169,ypccc_combo,938
United States,2011,when6,6,606.874543374056,ypccc_combo,938
United States,2012,belief3,1,270.618148157088,ypccc_combo,938
United States,2012,belief3,2,385.488474553686,ypccc_combo,938
United States,2012,belief3,3,1404.47767665876,ypccc_combo,938
United States,2012,cause4,1,123.173405099769,ypccc_combo,938
United States,2012,cause4,2,705.434099418687,ypccc_combo,938
United States,2012,cause4,3,146.756217988055,ypccc_combo,938
United States,2012,cause4,4,1034.29340742428,ypccc_combo,938
United States,2012,concern4,1,334.820294959826,ypccc_combo,938
United States,2012,concern4,2,574.502407304815,ypccc_combo,938
United States,2012,concern4,3,874.217669856806,ypccc_combo,938
United States,2012,concern4,4,275.81056173785,ypccc_combo,938
United States,2012,discuss4,1,657.872595803377,ypccc_combo,938
United States,2012,discuss4,2,802.949059601121,ypccc_combo,938
United States,2012,discuss4,3,519.50610644952,ypccc_combo,938
United States,2012,discuss4,4,75.9750462891231,ypccc_combo,938
United States,2012,harm4,1,504.661173468216,ypccc_combo,938
United States,2012,harm4,2,569.803948398335,ypccc_combo,938
United States,2012,harm4,3,453.317532767581,ypccc_combo,938
United States,2012,harm4,4,277.227443342385,ypccc_combo,938
United States,2012,harm_dev4,1,271.671759594922,ypccc_combo,938
United States,2012,harm_dev4,2,294.376464416086,ypccc_combo,938
United States,2012,harm_dev4,3,560.505770988497,ypccc_combo,938
United States,2012,harm_dev4,4,630.124142849227,ypccc_combo,938
United States,2012,harm_future4,1,197.990645138531,ypccc_combo,938
United States,2012,harm_future4,2,217.52170705082,ypccc_combo,938
United States,2012,harm_future4,3,443.793133369722,ypccc_combo,938
United States,2012,harm_future4,4,923.028857714785,ypccc_combo,938
United States,2012,harm_nature4,1,189.970664870416,ypccc_combo,938
United States,2012,harm_nature4,2,250.436632929975,ypccc_combo,938
United States,2012,harm_nature4,3,474.662141505077,ypccc_combo,938
United States,2012,harm_nature4,4,882.399594662632,ypccc_combo,938
United States,2012,harm_us4,1,305.359008874925,ypccc_combo,938
United States,2012,harm_us4,2,422.079302477166,ypccc_combo,938
United States,2012,harm_us4,3,611.597663823456,ypccc_combo,938
United States,2012,harm_us4,4,450.944305963629,ypccc_combo,938
United States,2012,policy_carbon4,1,207.926957882215,ypccc_combo,938
United States,2012,policy_carbon4,2,327.86845303606,ypccc_combo,938
United States,2012,policy_carbon4,3,954.354528413521,ypccc_combo,938
United States,2012,policy_carbon4,4,464.939615144794,ypccc_combo,938
United States,2012,policy_mandate4,1,302.52407213789,ypccc_combo,938
United States,2012,policy_mandate4,2,443.981567989407,ypccc_combo,938
United States,2012,policy_mandate4,3,832.882006424319,ypccc_combo,938
United States,2012,policy_mandate4,4,389.215705774873,ypccc_combo,938
United States,2012,policy_research4,1,165.732218584088,ypccc_combo,938
United States,2012,policy_research4,2,247.788140109894,ypccc_combo,938
United States,2012,policy_research4,3,879.347444205989,ypccc_combo,938
United States,2012,policy_research4,4,668.665113080348,ypccc_combo,938
United States,2012,science4,1,63.1920623025892,ypccc_combo,938
United States,2012,science4,2,788.069219869914,ypccc_combo,938
United States,2012,science4,3,396.986457412584,ypccc_combo,938
United States,2012,science4,4,803.852750423121,ypccc_combo,938
United States,2012,when6,1,307.616134181193,ypccc_combo,938
United States,2012,when6,2,287.09168955186,ypccc_combo,938
United States,2012,when6,3,269.419233218228,ypccc_combo,938
United States,2012,when6,4,245.363229710479,ypccc_combo,938
United States,2012,when6,5,256.835543531368,ypccc_combo,938
United States,2012,when6,6,669.477652545555,ypccc_combo,938
United States,2013,belief3,1,362.562768701171,ypccc_combo,938
United States,2013,belief3,2,323.818205999195,ypccc_combo,938
United States,2013,belief3,3,1175.61240901541,ypccc_combo,938
United States,2013,cause4,1,145.63994576949,ypccc_combo,938
United States,2013,cause4,2,650.121709148154,ypccc_combo,938
United States,2013,cause4,3,109.708885080729,ypccc_combo,938
United States,2013,cause4,4,899.865165424357,ypccc_combo,938
United States,2013,concern4,1,362.460823517854,ypccc_combo,938
United States,2013,concern4,2,522.270393153728,ypccc_combo,938
United States,2013,concern4,3,707.290220176995,ypccc_combo,938
United States,2013,concern4,4,268.883188046954,ypccc_combo,938
United States,2013,discuss4,1,581.493598397627,ypccc_combo,938
United States,2013,discuss4,2,729.284979677697,ypccc_combo,938
United States,2013,discuss4,3,481.543245940776,ypccc_combo,938
United States,2013,discuss4,4,72.7761697577742,ypccc_combo,938
United States,2013,harm4,1,456.370821449961,ypccc_combo,938
United States,2013,harm4,2,493.712514578722,ypccc_combo,938
United States,2013,harm4,3,465.817149989901,ypccc_combo,938
United States,2013,harm4,4,265.288268967134,ypccc_combo,938
United States,2013,harm_dev4,1,297.630905032365,ypccc_combo,938
United States,2013,harm_dev4,2,319.633267970327,ypccc_combo,938
United States,2013,harm_dev4,3,460.511565073972,ypccc_combo,938
United States,2013,harm_dev4,4,580.519029488686,ypccc_combo,938
United States,2013,harm_future4,1,248.741751921614,ypccc_combo,938
United States,2013,harm_future4,2,216.052988952531,ypccc_combo,938
United States,2013,harm_future4,3,376.313797108079,ypccc_combo,938
United States,2013,harm_future4,4,825.726901680675,ypccc_combo,938
United States,2013,harm_nature4,1,263.036879791206,ypccc_combo,938
United States,2013,harm_nature4,2,227.202813863891,ypccc_combo,938
United States,2013,harm_nature4,3,400.614488516857,ypccc_combo,938
United States,2013,harm_nature4,4,797.507997298445,ypccc_combo,938
United States,2013,harm_us4,1,334.374770407973,ypccc_combo,938
United States,2013,harm_us4,2,350.47341965229,ypccc_combo,938
United States,2013,harm_us4,3,558.219462893581,ypccc_combo,938
United States,2013,harm_us4,4,427.855744568331,ypccc_combo,938
United States,2013,policy_carbon4,1,214.151234670451,ypccc_combo,938
United States,2013,policy_carbon4,2,306.188698780055,ypccc_combo,938
United States,2013,policy_carbon4,3,823.414469371478,ypccc_combo,938
United States,2013,policy_carbon4,4,440.493774922321,ypccc_combo,938
United States,2013,policy_mandate4,1,316.228091102756,ypccc_combo,938
United States,2013,policy_mandate4,2,448.500784516485,ypccc_combo,938
United States,2013,policy_mandate4,3,741.058615571764,ypccc_combo,938
United States,2013,policy_mandate4,4,296.624771239168,ypccc_combo,938
United States,2013,policy_phaseout4,1,151.447282423544,ypccc_combo,938
United States,2013,policy_phaseout4,2,186.648016993514,ypccc_combo,938
United States,2013,policy_phaseout4,3,392.322970719716,ypccc_combo,938
United States,2013,policy_phaseout4,4,171.843058362158,ypccc_combo,938
United States,2013,policy_research4,1,185.220784427074,ypccc_combo,938
United States,2013,policy_research4,2,275.691392455918,ypccc_combo,938
United States,2013,policy_research4,3,790.362485951232,ypccc_combo,938
United States,2013,policy_research4,4,542.744395485805,ypccc_combo,938
United States,2013,science4,1,91.3414229049033,ypccc_combo,938
United States,2013,science4,2,621.543854323845,ypccc_combo,938
United States,2013,science4,3,360.334034190571,ypccc_combo,938
United States,2013,science4,4,789.27533547766,ypccc_combo,938
United States,2013,when6,1,324.34811893632,ypccc_combo,938
United States,2013,when6,2,233.370537447069,ypccc_combo,938
United States,2013,when6,3,212.371182943169,ypccc_combo,938
United States,2013,when6,4,241.9853264394,ypccc_combo,938
United States,2013,when6,5,190.050712705319,ypccc_combo,938
United States,2013,when6,6,643.3925396295,ypccc_combo,938
United States,2014,belief3,1,402.563980984372,ypccc_combo,938
United States,2014,belief3,2,402.014040668291,ypccc_combo,938
United States,2014,belief3,3,1482.33937201529,ypccc_combo,938
United States,2014,cause4,1,190.350475172235,ypccc_combo,938
United States,2014,cause4,2,754.944973029659,ypccc_combo,938
United States,2014,cause4,3,130.012329210754,ypccc_combo,938
United States,2014,cause4,4,1172.59715493911,ypccc_combo,938
United States,2014,concern4,1,411.203255572547,ypccc_combo,938
United States,2014,concern4,2,598.000963270247,ypccc_combo,938
United States,2014,concern4,3,984.05446657979,ypccc_combo,938
United States,2014,concern4,4,292.08775818349,ypccc_combo,938
United States,2014,discuss4,1,759.22864950142,ypccc_combo,938
United States,2014,discuss4,2,854.215914293155,ypccc_combo,938
